Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2060,1333.0,7.054070494994438,1,323,122.56460881238652,7.054070494994438,51.99543899657926
2061,1230.0,6.5482712272895816,4,265,103.85085459446157,6.5482712272895816,-7.726931732933229
2062,748.0,3.9592487022617724,0,215,61.60922795894272,3.9592487022617724,-39.1869918699187
2063,891.0,4.7473523822766035,0,285,80.60467502796372,4.7473523822766035,19.11764705882353
2064,944.0,5.052569985168706,0,191,66.66924237448539,5.052569985168706,5.948372615039288
2065,863.0,4.581311410826845,0,317,90.54728381382075,4.581311410826845,-8.580508474576277
2066,888.0,4.737231182795699,0,158,63.440738273819555,4.737231182795699,2.8968713789107703
2067,921.0,4.8871489154616246,0,219,71.21813482023191,4.8871489154616246,3.716216216216206
2068,914.0,4.892177651093808,0,233,82.38141155440934,4.892177651093808,-0.7600434310532034
2069,801.0,4.228819058212829,0,157,56.73242619365209,4.228819058212829,-12.363238512035013
2070,1068.0,5.730192111605487,0,247,81.88572969249726,5.730192111605487,33.33333333333333
2071,1412.0,7.623088153503893,0,380,122.6631257723462,7.623088153503893,32.209737827715344
2072,935.0,4.961554505005562,2,244,79.27221034721646,4.961554505005562,-33.78186968838527
2073,978.0,5.174580552465702,0,217,84.45386045323534,5.174580552465702,4.598930481283414
2074,943.0,5.042877502780867,0,228,83.25913363309358,5.042877502780867,-3.578732106339466
2075,932.0,4.999768261030775,0,275,85.18358071977501,4.999768261030775,-1.166489925768821
2076,826.0,4.460465331850204,0,216,73.58585997240766,4.460465331850204,-11.37339055793991
2077,1146.0,6.130486420096403,0,420,122.79139738893467,6.130486420096403,38.74092009685231
2078,864.0,4.574231785317019,0,316,93.26209402441157,4.574231785317019,-24.607329842931936
2079,951.0,5.0278434371523915,0,278,88.1724807614959,5.0278434371523915,10.069444444444443
2080,946.0,5.081647432332221,2,238,86.00405205394085,5.081647432332221,-0.525762355415349
2081,1157.0,6.173896922506489,0,271,95.1109001814899,6.173896922506489,22.304439746300208
2082,830.0,4.428780821282907,2,162,63.01202386461771,4.428780821282907,-28.262748487467594
2083,1415.0,7.6699747404523535,7,506,141.32069161587017,7.6699747404523535,70.48192771084338
2084,510.0,2.729954579162032,2,152,43.98450140261184,2.729954579162032,-63.957597173144876
2085,904.0,4.80833449202818,1,219,71.62571063691043,4.80833449202818,77.25490196078431
2086,795.0,4.273451983685577,2,168,60.12581505779058,4.273451983685577,-12.057522123893804
2087,719.0,3.7989027159807196,0,183,65.570861507135,3.7989027159807196,-9.559748427672954
2088,841.0,4.520578420467186,0,210,66.96737106889286,4.520578420467186,16.968011126564676
2089,1263.0,6.73918937708565,2,407,125.41721282474455,6.73918937708565,50.17835909631392
2090,866.0,4.63619299221357,0,268,80.64381093688617,4.63619299221357,-31.433095803642118
2091,874.0,4.747752131998518,0,341,105.47540284853434,4.747752131998518,0.9237875288683695
2092,935.0,4.988389877641825,0,260,81.41415817605161,4.988389877641825,6.979405034324948
2093,693.0,3.670241240266964,0,227,66.12539740385824,3.670241240266964,-25.882352941176467
2094,874.0,4.643846171672229,0,336,93.36227906127374,4.643846171672229,26.118326118326117
2095,881.0,4.683230209492028,0,248,76.05913767748372,4.683230209492028,0.8009153318077722
2096,869.0,4.674476269929552,3,215,69.31149495814769,4.674476269929552,-1.362088535754824
2097,1074.0,5.754785409714498,3,237,85.14639799139533,5.754785409714498,23.59033371691599
2098,562.0,2.993053624397478,0,201,61.36601566655505,2.993053624397478,-47.672253258845444
2099,1108.0,5.884663515016686,5,228,76.93720383100319,5.884663515016686,97.15302491103203
2100,979.0,5.191903040415276,0,329,96.90244234968144,5.191903040415276,-11.642599277978338
2006,8336.0,43.87009872080089,0,3064,945.7599477604657,43.87009872080089,
2007,4271.0,23.123974555061178,5,1348,378.10399202848777,23.123974555061178,-48.76439539347409
2008,4666.0,25.230974230626625,10,1723,609.0536374846909,25.230974230626625,9.248419573870281
2009,4829.0,25.43869345569151,0,1602,490.7164443829845,25.43869345569151,3.493356193741959
2010,3369.0,17.772519234334446,0,688,261.4178560361657,17.772519234334446,-30.23400289915096
2011,4299.0,22.73563218390804,0,1585,483.0379478787449,22.73563218390804,27.6046304541407
2012,4827.0,25.65563009825732,9,1093,348.719247585165,25.65563009825732,12.281926029309131
2013,5669.0,30.455564052651095,20,1664,573.763723675574,30.455564052651095,17.443546716386994
2014,5513.0,29.429678809788655,0,1046,380.91384335648144,29.429678809788655,-2.7518080790262855
2015,5046.0,26.700181915090837,8,1354,362.7269195714845,26.700181915090837,-8.470886994376926
2016,7731.0,40.892867074527246,10,2427,712.4200912127875,40.892867074527246,53.210463733650414
2017,5241.0,27.591125556173527,0,1382,515.5888293098395,27.591125556173527,-32.207993791230116
2018,5414.0,28.488297182054136,0,1679,507.6025347979789,28.488297182054136,3.3008967754245333
2019,8536.0,45.85461855765666,0,2909,929.4436589441638,45.85461855765666,57.66531215367565
2020,6372.0,33.853343993325915,19,1927,617.375088580678,33.853343993325915,-25.3514526710403
2021,4733.0,25.127844595847236,4,1006,369.1756069784118,25.127844595847236,-25.72190834902699
2022,8748.0,47.32089474416018,1,3127,949.2041642631713,47.32089474416018,84.82991759983098
2023,3000.0,16.116703744901745,7,1381,378.4131940809483,16.116703744901745,-65.70644718792866
2024,4614.0,24.797610771227287,4,1189,495.7437937996895,24.797610771227287,53.800000000000004
2025,4710.0,24.940466258806083,0,1578,455.04954775177055,24.940466258806083,2.080624187256186
2026,5117.0,27.26793080274379,2,1043,387.48383152974225,27.26793080274379,8.641188959660306
2027,7900.0,42.39710789766407,0,1653,672.6484065155279,42.39710789766407,54.387336329880796
2028,3234.0,17.193374582869858,17,498,192.82422518496432,17.193374582869858,-59.063291139240505
2029,3788.0,20.077458750463475,0,1169,385.9951326432011,20.077458750463475,17.130488559059987
2030,7109.0,38.12337203374119,5,1379,556.3394088852486,38.12337203374119,87.6715945089757
2031,5563.0,29.5082846681498,15,1033,367.3735919477692,29.5082846681498,-21.747081164720772
2032,6347.0,33.64050913051538,0,1867,592.8555639419855,33.64050913051538,14.093115225597707
2033,6764.0,36.636870828698555,12,1951,609.6674702183349,36.636870828698555,6.570033086497551
2034,3934.0,21.135381905821284,0,949,346.50877814758655,21.135381905821284,-41.83914843287996
2035,3758.0,19.994687384130515,18,912,280.4930183326018,19.994687384130515,-4.47381799694967
2036,5321.0,28.097776464590286,0,1390,427.3209265206002,28.097776464590286,41.59127195316658
2037,6137.0,32.34069683908046,0,1762,604.1991631803861,32.34069683908046,15.335463258785943
2038,3636.0,19.30926144790508,8,915,322.84023631173693,19.30926144790508,-40.7528108196187
2039,6760.0,35.756256952169075,0,2607,712.8032156510129,35.756256952169075,85.91859185918591
2040,4872.0,26.670206479421577,0,2011,552.2379263258974,26.670206479421577,-27.92899408284024
2041,4549.0,24.19895949202818,5,1162,414.2391619986374,24.19895949202818,-6.629720853858789
2042,4572.0,24.05023521505376,5,1044,393.3358500176292,24.05023521505376,0.5056056276104615
2043,5679.0,30.269506627734525,0,1536,521.18433748182,30.269506627734525,24.212598425196852
2044,5192.0,27.43632971820541,0,1377,390.46367153408625,27.43632971820541,-8.575453424898749
2045,5206.0,28.059388904338153,1,1578,505.7230347520151,28.059388904338153,0.2696456086286547
2046,5898.0,31.532953281423804,2,1858,599.2192647710245,31.532953281423804,13.292354975028807
2047,4615.0,24.273046440489434,0,2199,609.5455025647959,24.273046440489434,-21.753136656493723
2048,4590.0,24.43204254727475,0,1174,386.3680534506868,24.43204254727475,-0.5417118093174467
2049,6551.0,35.986466444197255,0,3197,906.3171688796701,35.986466444197255,42.72331154684097
2050,4100.0,21.644176399703372,3,1245,355.1712348439919,21.644176399703372,-37.414135246527245
2051,4881.0,26.066700268817204,19,976,355.5822689617692,26.066700268817204,19.048780487804873
2052,2472.0,13.12269419725621,0,907,283.76334570137203,13.12269419725621,-49.35464044253227
2053,5027.0,27.0518689747868,0,1120,428.2247622098668,27.0518689747868,103.3576051779935
2054,6059.0,32.01330761030775,0,1905,573.7860637639233,32.01330761030775,20.52914262979908
2055,3920.0,20.755897756766778,0,965,317.4756492690233,20.755897756766778,-35.30285525664301
2056,6511.0,35.04866518353726,18,1893,667.718565964234,35.04866518353726,66.0969387755102
2057,5407.0,28.655554783092327,0,1527,475.49657456625533,28.655554783092327,-16.95592074950084
2058,4105.0,21.799395161290324,0,1995,552.1507465988767,21.799395161290324,-24.07989643055298
2059,3128.0,16.6382033277716,10,929,269.4932393597399,16.6382033277716,-23.800243605359316
2060,4265.0,22.577395022246943,7,1005,381.6939417275511,22.577395022246943,36.34910485933504
2061,3969.0,21.010103819058212,5,988,320.32487060369306,21.010103819058212,-6.940211019929665
2062,3677.0,19.59209885984427,0,1058,326.2621529142515,19.59209885984427,-7.357016880826405
2063,5763.0,30.498285131627735,0,2710,797.1347696024123,30.498285131627735,56.73103073157466
2064,3616.0,19.083518724508714,10,1186,373.42525924530634,19.083518724508714,-37.254901960784316
2065,4677.0,24.941845105672968,3,1884,558.3705392397678,24.941845105672968,29.341814159292046
2066,4309.0,22.810495457916204,8,1780,544.9639618332296,22.810495457916204,-7.868291639940129
2067,5089.0,27.521905126066002,5,2170,734.6128799124973,27.521905126066002,18.1016477140868
2068,3699.0,19.6540368928439,0,910,306.5408544624117,19.6540368928439,-27.313814108862257
2069,3480.0,18.641424499443826,0,719,247.71537919739478,18.641424499443826,-5.920519059205187
2070,5402.0,28.69400027808676,4,1002,399.5390146686857,28.69400027808676,55.229885057471265
2071,6889.0,36.56008991472006,0,2428,673.0644246258821,36.56008991472006,27.526841910403554
2072,2619.0,13.99768261030775,0,806,255.71366266339245,13.99768261030775,-61.982871244012195
2073,5622.0,29.923445031516497,6,1354,482.3545470822361,29.923445031516497,114.66208476517754
2074,4436.0,23.7866031701891,0,1584,503.56372411287157,23.7866031701891,-21.09569548203486
2075,5527.0,30.029367120875047,0,1739,514.9060741062541,30.029367120875047,24.594229035166816
2076,2225.0,11.885352938450131,0,521,186.23614449174875,11.885352938450131,-59.74307942826127
2077,4007.0,21.42773799592139,0,980,354.5264340274818,21.42773799592139,80.08988764044945
2078,5683.0,29.86797251575825,0,1787,623.6309308227005,29.86797251575825,41.826803094584484
2079,1608.0,8.549325639599555,0,686,188.80629804595551,8.549325639599555,-71.70508534224882
2080,4774.0,25.755225713756023,0,1349,445.1179278539224,25.755225713756023,196.89054726368158
2081,7411.0,39.185657675194655,2,1751,655.6514398718732,39.185657675194655,55.23669878508588
2082,2999.0,15.890399054505004,0,1280,366.488858402726,15.890399054505004,-59.53312643367967
2083,6530.0,35.2950210882462,0,2199,654.7332327449143,35.2950210882462,117.73924641547184
2084,3833.0,20.38906655543196,2,1070,348.18006269832,20.38906655543196,-41.301684532924966
2085,4190.0,22.351235168705973,0,878,296.66382361593105,22.351235168705973,9.31385337855466
2086,3668.0,19.71449758991472,2,854,325.3301353543765,19.71449758991472,-12.458233890214798
2087,2735.0,14.463483731924361,0,824,279.98358988708713,14.463483731924361,-25.436205016357693
2088,3690.0,20.100198136818687,3,1244,368.33149595044256,20.100198136818687,34.91773308957953
2089,6228.0,33.380434278828325,0,1402,590.445132544468,33.380434278828325,68.78048780487805
2090,4401.0,23.53687546347794,0,1083,369.0937611846813,23.53687546347794,-29.335260115606932
2091,3724.0,20.300432193177603,0,1359,391.5429462879887,20.300432193177603,-15.382867530106791
2092,7063.0,37.74418914534669,0,1459,616.0284022869745,37.74418914534669,89.66165413533835
2093,3562.0,18.964387513904338,0,1640,484.38674130442,18.964387513904338,-49.56817216480249
2094,4817.0,25.553456386725994,0,2095,589.0594133228349,25.553456386725994,35.23301516002246
2095,4423.0,23.382276603633667,0,1394,503.6595997538838,23.382276603633667,-8.179364749844298
2096,2961.0,15.753111095661845,0,782,284.3976489482161,15.753111095661845,-33.05448790413747
2097,2201.0,11.720528596588801,0,595,211.37663857042793,11.720528596588801,-25.667004390408643
2098,2657.0,14.09217417500927,0,712,248.78558067443367,14.09217417500927,20.717855520218077
2099,4781.0,25.314469781238415,0,1557,509.2696121690238,25.314469781238415,79.93978170869403
2100,5466.0,29.01479073971079,0,1605,559.5276416926887,29.01479073971079,14.327546538381085
2006,8811.0,46.4352868928439,4,3159,981.0955958426366,46.4352868928439,
2007,4902.0,26.535293845012976,24,1605,450.3617737694078,26.535293845012976,-44.36499829758257
2008,4860.0,26.26999907304412,2,1788,623.2712819544078,26.26999907304412,-0.8567931456548328
2009,4590.0,24.128452910641453,10,1424,447.00711810480567,24.128452910641453,-5.555555555555558
2010,3138.0,16.55808537263626,0,689,256.5999716573357,16.55808537263626,-31.633986928104573
2011,4499.0,23.819266777901372,0,1443,490.8116576990948,23.819266777901372,43.371574251115355
2012,4827.0,25.61298433444568,4,1140,357.55079105187025,25.61298433444568,7.290509002000434
2013,6208.0,33.327777391546164,6,1801,628.3447712165284,33.327777391546164,28.60990263103378
2014,5613.0,29.97685507044864,10,1049,396.8256143217297,29.97685507044864,-9.58440721649485
2015,4584.0,24.3182876807564,17,1126,318.48419398485356,24.3182876807564,-18.332442544094064
2016,7510.0,39.60593367630701,15,2332,689.4781733420946,39.60593367630701,63.830715532286206
