precip bcc-csm1-1 rcp60 RNEURONALES decimas 2
P3671 38.226 -1.928 831 geo 2006 2100 -1
P3671 2009 3 17 15 13 17 24 5 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 22 0 0 0 0
P3671 2009 4 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2 0 0 0 4 5 3 0 0 0 3 11 11 0 0 0 -999
P3671 2009 5 0 0 5 4 6 0 0 0 0 0 0 0 0 0 0 0 0 4 9 14 9 14 27 7 0 0 5 14 2 0 5
P3671 2009 6 9 21 24 31 57 4 3 21 17 9 26 47 25 2 0 2 2 5 3 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2009 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 43 46 47 0 0
P3671 2009 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
P3671 2009 9 0 36 46 53 62 41 26 24 30 19 15 13 10 0 8 16 9 0 0 0 0 5 7 0 32 26 18 7 7 8 -999
P3671 2009 10 16 17 4 40 51 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0
P3671 2009 11 0 1 2 0 0 0 0 0 1 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -999
P3671 2009 12 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 1 0 0
P3671 2010 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 12 14 9 3 2 0 0 0 2 1 0 0 0 0 0
P3671 2010 2 0 0 0 0 0 0 0 0 0 2 2 2 2 2 11 4 2 0 0 0 0 2 0 0 0 0 0 0 -999 -999 -999
P3671 2010 3 0 0 0 0 0 0 1 20 24 42 17 4 0 0 0 0 0 2 2 6 17 2 14 21 14 17 13 2 2 0 0
P3671 2010 4 1 12 4 1 3 3 15 21 2 0 0 4 10 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 -999
